City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Manoel Urbano,BR,78.3,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
282,Mogadishu,SO,76.78,few clouds,2.0371,45.3438,Hotel Juba
283,Santo Domingo,DO,82.08,scattered clouds,18.5001,-69.9886,Cabañas City Heart
289,Caravelas,BR,77.02,light rain,-17.7125,-39.2481,Pousada dos Navegantes
292,Lubao,PH,78.15,few clouds,14.9167,120.55,Hacienda Gracia
295,Hilo,US,78.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
297,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
298,Adiake,CI,83.79,broken clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
302,Ahuimanu,US,78.85,few clouds,21.4447,-157.8378,Paradise Bay Resort
303,Oranjestad,AW,78.87,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
304,Jacareacanga,BR,77.11,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
306,Sao Felix Do Xingu,BR,81.14,moderate rain,-6.6447,-51.995,Rio Xingu Camping
307,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
310,Kaeo,NZ,74.32,broken clouds,-35.1,173.7833,Bushido Lodge
312,Carauari,BR,78.6,overcast clouds,-4.8828,-66.8958,Hotel Fellip
313,Hualmay,PE,74.7,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
319,Lompoc,US,70.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,Tororo,UG,71.44,overcast clouds,0.693,34.1809,Prime Hotel Tororo
323,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,Hostel Del Puerto
325,Banda Aceh,ID,78.22,overcast clouds,5.5577,95.3222,Sulthan Hotel International
330,Regeneracao,BR,83.23,broken clouds,-6.2378,-42.6883,Hotel KANAYRA
331,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
336,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
337,Vaitape,PF,80.2,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
339,Rio Verde De Mato Grosso,BR,82.65,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
343,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
345,Howard Springs,AU,75.97,overcast clouds,-12.497,131.047,buffalo beach hostel
349,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
351,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
354,Vao,NC,80.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
355,Hambantota,LK,74.03,clear sky,6.1241,81.1185,Bungalow 63
357,Japura,ID,71.55,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
358,Ikwiriri,TZ,74.57,moderate rain,-7.9562,38.9716,Greenland lodge
359,Inhambane,MZ,78.51,broken clouds,-23.865,35.3833,Oceano
362,Noumea,NC,78.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
365,Purranque,CL,70.93,scattered clouds,-40.9167,-73.1667,HOSPADAJE ERICA
368,Xapuri,BR,81.25,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
374,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
376,Samarai,PG,81.48,broken clouds,-10.6167,150.6667,Nuli Sapi
382,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
383,Katobu,ID,75.27,overcast clouds,-4.9408,122.5276,La Ode Husein
384,Thio,NC,78.76,overcast clouds,-21.6167,166.2167,La Ferme de Thio
385,Kloulklubed,PW,77.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
387,Vung Tau,VN,76.35,overcast clouds,10.346,107.0843,Green hotel
393,Sinnamary,GF,76.93,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
405,Ihosy,MG,70.02,broken clouds,-22.4,46.1167,Hotely Sariaka
413,Basco,PH,72.43,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
415,Dhidhdhoo,MV,81.32,scattered clouds,6.8833,73.1,Dhidhoo beach
417,Amahai,ID,78.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
418,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
