City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Pachino,IT,2022-02-02 16:27:58,36.7186,15.0907,59.04,64,37,17.98
192,Iqaluit,CA,2022-02-02 16:27:59,63.7506,-68.5145,6.53,77,100,15.99
193,Landerneau,FR,2022-02-02 16:27:59,48.4525,-4.2525,51.03,84,100,5.75
194,San Cristobal,VE,2022-02-02 16:25:39,7.7669,-72.225,78.98,30,2,9.86
195,Hambantota,LK,2022-02-02 16:28:00,6.1241,81.1185,75.65,77,2,11.5
196,Qinhuangdao,CN,2022-02-02 16:28:00,39.9317,119.5883,19.24,67,1,4.34
197,Kholtoson,RU,2022-02-02 16:28:01,50.2981,103.3097,-2.85,95,100,3.85
198,Sarh,TD,2022-02-02 16:28:01,9.1429,18.3923,93.11,11,0,9.22
199,Barrow,US,2022-02-02 16:23:16,71.2906,-156.7887,-20.18,69,0,5.75
200,Iskateley,RU,2022-02-02 16:28:02,67.6803,53.1512,8.35,96,100,8.59
201,Grand Forks,US,2022-02-02 16:23:21,47.9417,-97.4337,-9.47,67,0,10.36
202,Manggar,ID,2022-02-02 16:28:02,-2.8833,108.2667,79.07,80,83,6.38
203,Abha,SA,2022-02-02 16:28:03,18.2164,42.5053,62.42,82,0,6.91
204,Alexandria,EG,2022-02-02 16:27:45,31.2156,29.9553,60.01,48,100,8.5
205,Mangai,CD,2022-02-02 16:28:04,-4.05,19.5333,75.76,91,95,2.15
206,Flin Flon,CA,2022-02-02 16:28:04,54.7682,-101.865,-22.16,57,0,9.22
207,Severo-Kurilsk,RU,2022-02-02 16:28:05,50.6789,156.125,27.88,87,97,8.32
208,Dalbandin,PK,2022-02-02 16:28:05,28.8947,64.4101,52.48,34,0,16.6
209,Urdoma,RU,2022-02-02 16:28:05,61.7533,48.5442,25.59,96,100,6.91
210,Soyo,AO,2022-02-02 16:28:06,-6.1349,12.3689,82.45,69,27,11.61
211,Codrington,AU,2022-02-02 16:27:51,-38.2667,141.9667,58.86,64,99,13.76
212,Talnakh,RU,2022-02-02 16:28:06,69.4865,88.3972,-0.83,98,95,6.26
213,Howick,ZA,2022-02-02 16:28:07,-29.4779,30.2306,73.02,73,19,4.92
214,Westport,US,2022-02-02 16:26:51,41.1415,-73.3579,44.8,81,100,1.01
215,Gao,ML,2022-02-02 16:28:07,16.6362,1.637,82.58,8,3,11.32
216,Kodiak,US,2022-02-02 16:28:08,57.79,-152.4072,36.91,87,100,4.61
217,Chapais,CA,2022-02-02 16:28:08,49.7834,-74.8492,26.38,85,100,11.36
218,Souillac,MU,2022-02-02 16:28:09,-20.5167,57.5167,80.98,89,75,34.52
219,Taguatinga,BR,2022-02-02 16:28:10,-12.3857,-46.5711,86.65,58,57,2.95
220,New Norfolk,AU,2022-02-02 16:28:10,-42.7826,147.0587,53.71,63,60,3.4
221,Ilulissat,GL,2022-02-02 16:28:11,69.2167,-51.1,5.02,78,100,20.71
222,Sarkand,KZ,2022-02-02 16:28:11,45.41,79.9186,15.49,66,89,7.38
223,Mendeleyevo,RU,2022-02-02 16:28:12,56.0333,37.2167,26.47,74,75,6.71
224,Lagoa,PT,2022-02-02 16:28:12,39.05,-27.9833,58.46,72,1,12.86
225,Barranca,PE,2022-02-02 16:28:13,-10.75,-77.7667,74.98,69,4,12.08
226,Jalu,LY,2022-02-02 16:29:13,29.0331,21.5482,58.59,39,54,14.5
227,Ruteng,ID,2022-02-02 16:29:14,-8.6136,120.4721,62.83,93,98,2.3
228,Channel-Port Aux Basques,CA,2022-02-02 16:29:15,47.5702,-59.1367,23.92,71,100,10.87
229,Castro,BR,2022-02-02 16:29:15,-24.7911,-50.0119,76.68,66,77,4.36
230,Marsh Harbour,BS,2022-02-02 16:25:42,26.5412,-77.0636,71.96,54,35,17.52
231,Pangai,TO,2022-02-02 16:29:16,-19.8,-174.35,80.82,70,13,7.63
232,Touba,CI,2022-02-02 16:29:16,8.2833,-7.6833,92.98,9,6,5.37
233,Mayumba,GA,2022-02-02 16:29:17,-3.432,10.6554,80.94,78,52,7.56
234,Iranshahr,IR,2022-02-02 16:29:17,27.2025,60.6848,62.94,25,0,16.11
235,Srednekolymsk,RU,2022-02-02 16:29:18,67.45,153.6833,-18.17,95,89,6.08
236,Juneau,US,2022-02-02 16:29:18,58.3019,-134.4197,26.83,93,100,0.0
237,Suntar,RU,2022-02-02 16:29:18,62.1444,117.6319,-24.09,98,38,3.78
238,Ugoofaaru,MV,2022-02-02 16:29:19,5.6667,73.0,82.54,69,4,10.2
239,San Lorenzo,PY,2022-02-02 16:29:19,-25.3333,-57.5333,99.59,29,40,13.0
240,Saint-Augustin,CA,2022-02-02 16:29:20,51.226,-58.6502,10.65,90,98,6.91
241,Bambous Virieux,MU,2022-02-02 16:27:54,-20.3428,57.7575,80.85,89,75,34.52
242,Kropotkin,RU,2022-02-02 16:29:21,45.4375,40.5756,37.89,90,100,6.04
243,Thinadhoo,MV,2022-02-02 16:29:21,0.5333,72.9333,83.1,70,2,6.46
244,Palmer,US,2022-02-02 16:24:59,42.1584,-72.3287,41.68,74,100,3.44
245,Lompoc,US,2022-02-02 16:29:22,34.6391,-120.4579,55.56,44,0,4.61
246,Parintins,BR,2022-02-02 16:29:22,-2.6283,-56.7358,82.51,82,84,5.48
247,Male,MV,2022-02-02 16:28:03,4.1748,73.5089,84.15,79,75,12.66
248,Katherine,AU,2022-02-02 16:29:23,-14.4667,132.2667,77.32,94,100,4.61
249,General Roca,AR,2022-02-02 16:29:23,-39.0333,-67.5833,92.62,19,0,8.43
250,Belmonte,BR,2022-02-02 16:29:24,-15.8631,-38.8828,86.5,63,82,10.04
251,Pisco,PE,2022-02-02 16:24:56,-13.7,-76.2167,73.45,64,0,9.22
252,Ahipara,NZ,2022-02-02 16:29:25,-35.1667,173.1667,66.85,91,100,10.45
253,Los Llanos De Aridane,ES,2022-02-02 16:29:25,28.6585,-17.9182,67.75,92,0,12.66
254,Kavieng,PG,2022-02-02 16:29:26,-2.5744,150.7967,79.52,82,100,11.99
255,Shenxian,CN,2022-02-02 16:29:26,36.2411,115.6672,33.91,38,43,4.92
256,Airai,TL,2022-02-02 16:29:27,-8.9266,125.4092,60.78,88,78,2.15
257,Samana,DO,2022-02-02 16:29:27,19.2056,-69.3369,82.36,83,40,4.61
258,Nuevitas,CU,2022-02-02 16:29:28,21.5453,-77.2644,83.64,67,21,13.11
259,Turukhansk,RU,2022-02-02 16:29:28,65.8167,87.9833,5.61,92,99,8.66
260,Fortuna,US,2022-02-02 16:29:29,40.5982,-124.1573,41.92,80,0,1.01
261,Vanimo,PG,2022-02-02 16:29:29,-2.6741,141.3028,77.2,85,99,1.39
262,Ribas Do Rio Pardo,BR,2022-02-02 16:29:30,-20.4431,-53.7592,81.54,69,97,11.45
263,Coihaique,CL,2022-02-02 16:27:12,-45.5752,-72.0662,64.35,48,40,8.05
264,Banjarmasin,ID,2022-02-02 16:29:31,-3.3244,114.591,78.94,87,84,3.15
265,Cravo Norte,CO,2022-02-02 16:29:31,6.3017,-70.2041,94.37,34,45,11.3
266,Zakamensk,RU,2022-02-02 16:29:32,50.3741,103.2863,-2.94,96,100,3.6
267,Makokou,GA,2022-02-02 16:29:32,0.5738,12.8642,83.86,53,87,4.68
268,Rio Grande,BR,2022-02-02 16:29:33,-32.035,-52.0986,86.11,62,1,11.79
269,Dakar,SN,2022-02-02 16:29:33,14.6937,-17.4441,99.48,55,99,10.6
270,Novovarshavka,RU,2022-02-02 16:29:34,54.1721,74.6946,-0.17,99,83,6.15
271,Bagan,RU,2022-02-02 16:29:35,54.1001,77.6646,-2.88,100,88,3.91
272,Dharchula,IN,2022-02-02 16:29:35,29.85,80.5333,48.7,75,96,1.57
273,Matay,EG,2022-02-02 16:30:36,28.419,30.7792,59.72,30,26,5.97
274,Viedma,AR,2022-02-02 16:30:29,-40.8135,-62.9967,86.23,31,95,17.38
